Data de extração; Papel; EvEbit; Posição EvEbit, Roic; Posição Roic; Posição Final
2023-07-04;ALPK3;9.93;94;0.1031;98;96;
2023-07-04;NINJ3;1.64;5;-2.2594;188;97;
2023-07-04;BOAS3;15.03;134;0.1471;61;98;
2023-07-04;MULT3;13.45;124;0.1394;71;99;
2023-07-04;AZUL4;14.74;131;0.1433;66;100;
2023-07-04;VBBR3;10.33;99;0.1031;99;101;
2023-07-04;SEER3;6.72;60;0.0602;138;102;
2023-07-04;RAIZ4;10.32;98;0.0919;105;103;
2023-07-04;JHSF3;8.23;79;0.0720;124;104;
2023-07-04;VIVA3;17.93;155;0.1574;49;105;
2023-07-04;STBP3;15.83;145;0.1449;64;106;
2023-07-04;CRFB3;8.60;83;0.0705;126;107;
2023-07-04;CBAV3;8.01;75;0.0635;136;108;
2023-07-04;EVEN3;5.77;48;0.0408;164;109;
2023-07-04;HYPE3;14.57;129;0.1205;84;110;
2023-07-04;SBSP3;11.07;106;0.0897;107;111;
2023-07-04;SMTO3;11.83;114;0.1004;102;112;
2023-07-04;LPSB3;11.28;107;0.0870;109;113;
2023-07-04;GMAT3;15.47;137;0.1249;80;114;
2023-07-04;BRPR3;5.93;49;0.0276;171;115;
2023-07-04;LAVV3;9.28;89;0.0672;132;116;
2023-07-04;PORT3;14.47;128;0.1066;95;117;
2023-07-04;ANIM3;9.68;92;0.0675;131;118;
2023-07-04;PDTC3;10.77;104;0.0711;125;119;
2023-07-04;ARML3;18.47;158;0.1325;72;120;
2023-07-04;MATD3;12.30;120;0.0863;110;121;
2023-07-04;TIMS3;11.37;108;0.0736;122;122;
2023-07-04;EMBR3;9.27;88;0.0565;144;123;
2023-07-04;RADL3;26.44;176;0.1503;59;124;
2023-07-04;FLRY3;15.84;146;0.1144;89;125;
2023-07-04;ARZZ3;19.19;161;0.1283;75;126;
2023-07-04;ONCO3;14.25;126;0.0861;111;127;
2023-07-04;MELK3;8.40;80;0.0444;157;128;
2023-07-04;CAML3;11.49;111;0.0679;130;129;
2023-07-04;VVEO3;14.60;130;0.0853;112;130;
2023-07-04;CEAB3;8.88;86;0.0424;160;131;
2023-07-04;GRND3;16.60;148;0.1010;101;132;
2023-07-04;LOGN3;19.54;163;0.1187;87;133;
2023-07-04;SBFG3;11.43;109;0.0582;142;134;
2023-07-04;CRPG5;14.14;125;0.0703;127;135;
2023-07-04;PGMN3;10.35;100;0.0475;153;136;
2023-07-04;TPIS3;11.80;113;0.0551;146;137;
2023-07-04;YDUQ3;15.82;144;0.0805;116;138;
2023-07-04;ELMD3;17.76;153;0.0877;108;139;
2023-07-04;KRSA3;12.14;116;0.0563;145;140;
2023-07-04;GOLL4;15.79;142;0.0776;120;141;
2023-07-04;VIVT3;13.34;122;0.0595;140;142;
2023-07-04;SYNE3;9.97;96;0.0358;166;143;
2023-07-04;RRRP3;15.54;138;0.0699;129;144;
2023-07-04;COGN3;11.53;112;0.0459;155;145;
2023-07-04;RENT3;19.91;164;0.0918;106;146;
2023-07-04;JALL3;14.95;133;0.0614;137;147;
2023-07-04;CSAN3;12.77;121;0.0530;149;148;
2023-07-04;AMER3;10.97;105;0.0361;165;149;
2023-07-04;AMAR3;13.42;123;0.0532;148;150;
2023-07-04;IGTI11;17.84;154;0.0782;119;151;
2023-07-04;RDOR3;16.96;150;0.0733;123;152;
2023-07-04;PETZ3;15.66;139;0.0653;134;153;
2023-07-04;SCAR3;15.19;136;0.0566;143;154;
2023-07-04;MRFG3;12.30;119;0.0419;162;155;
2023-07-04;CYRE3;14.94;132;0.0493;151;156;
2023-07-04;MDIA3;20.73;170;0.0803;117;157;
2023-07-04;RAIL3;19.22;162;0.0703;128;158;
2023-07-04;ALPA4;16.98;151;0.0595;141;159;
2023-07-04;SOMA3;18.14;157;0.0597;139;160;
2023-07-04;ESPA3;15.81;143;0.0435;159;161;
2023-07-04;OPCT3;17.99;156;0.0545;147;162;
2023-07-04;PNVL3;20.42;169;0.0640;135;163;
2023-07-04;MTRE3;16.79;149;0.0337;167;164;
2023-07-04;DASA3;19.05;160;0.0440;158;165;
2023-07-04;TRIS3;18.66;159;0.0412;163;166;
2023-07-04;PCAR3;15.73;141;0.0145;182;167;
2023-07-04;JPSA3;20.35;168;0.0456;156;168;
2023-07-04;HBSA3;23.80;173;0.0476;152;169;
2023-07-04;ALSO3;17.24;152;0.0267;174;170;
2023-07-04;MGLU3;24.00;174;0.0463;154;171;
2023-07-04;ZAMP3;20.27;166;0.0282;170;172;
2023-07-04;LOGG3;21.13;171;0.0326;168;173;
2023-07-04;LJQQ3;20.31;167;0.0273;172;174;
2023-07-04;GUAR3;20.04;165;0.0252;175;175;
2023-07-04;SQIA3;36.73;180;0.0423;161;176;
2023-07-04;BRKM5;22.60;172;0.0325;169;177;
2023-07-04;NTCO3;27.82;178;0.0269;173;178;
2023-07-04;EZTC3;35.83;179;0.0224;176;179;
2023-07-04;HBOR3;27.43;177;0.0153;181;180;
2023-07-04;LWSA3;58.74;182;0.0210;177;181;
2023-07-04;BRFS3;37.00;181;0.0197;178;182;
2023-07-04;VSTE3;95.69;185;0.0168;180;183;
2023-07-04;ORVR3;125.60;187;0.0176;179;184;
2023-07-04;AGRO3;77.36;184;0.0143;183;185;
2023-07-04;NGRD3;71.19;183;0.0089;185;186;
2023-07-04;SMFT3;117.62;186;0.0122;184;187;
2023-07-04;MRVE3;304.29;188;0.0020;186;188;
